"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"M7","C1",0.991111111,1.892631818,2.439311396,437.1679465,0.997563604,"MogollonRim","Chiricahuas","Different"
"M8","C1",0.995744681,1.972061624,2.517135288,437.6091446,0.999001482,"MogollonRim","Chiricahuas","Different"
"M9","C1",1,2.031443655,2.575420413,438.2750862,1,"MogollonRim","Chiricahuas","Different"
"N1","C1",1,1.653652577,1.668109688,407.152692,1,"Mingus","Chiricahuas","Different"
"N2","C1",0.995454545,1.703983985,1.71261923,406.5013279,0.999114028,"Mingus","Chiricahuas","Different"
"N3","C1",0.990574929,1.678570723,1.685889723,407.3353006,0.988044524,"Mingus","Chiricahuas","Different"
"P1","C1",0.971229294,0.413688683,0.081025399,95.06799861,0.937669359,"Pinaleno","Chiricahuas","Different"
"P2","C1",1,0.40736762,0.017826402,94.25788566,1,"Pinaleno","Chiricahuas","Different"
"P3","C1",0.990808824,0.334632464,0.031171135,94.73126448,0.998428215,"Pinaleno","Chiricahuas","Different"
"Sunset Trail","C1",0.9894535,0.446905514,0.810446373,150.269586,0.994691115,"MtLemmon","Chiricahuas","Different"
"Upper Solders Camp Rd.","C1",0.996320147,1.200135503,0.84625185,149.6308747,0.999656895,"MtLemmon","Chiricahuas","Different"
"A1","C2",0.994541485,3.091710443,3.401152982,439.02128,0.999010198,"Flagstaff","Chiricahuas","Different"
"A2","C2",0.981605351,3.036013278,3.401660014,438.0000557,0.982692273,"Flagstaff","Chiricahuas","Different"
"A3","C2",1,3.082978019,3.397433499,437.5305561,1,"Flagstaff","Chiricahuas","Different"
"B1","C2",0.967881944,0.279068955,1.253097635,405.2772202,0.952724776,"Bradshaw","Chiricahuas","Different"
"B2","C2",0.989231874,0.312402069,1.258439727,404.9426732,0.980424104,"Bradshaw","Chiricahuas","Different"
"B3","C2",0.967682364,0.265744223,1.258895455,405.1805074,0.86125283,"Bradshaw","Chiricahuas","Different"
"Butterfly trail","C2",0.930207778,1.319836072,0.845937667,149.8132516,0.89030686,"MtLemmon","Chiricahuas","Different"
"C1","C2",0.963269054,0.077991371,0.00709538,0.695169655,0.943273121,"Chiricahuas","Chiricahuas","Same"
"C2","C2",0,0,0,0,0,"Chiricahuas","Chiricahuas","Same"
"C3","C2",0.959509856,0.58075185,0.00619241,0.491400997,0.944202852,"Chiricahuas","Chiricahuas","Same"
"H1","C2",1,2.581885501,1.677334219,113.5914507,1,"Huachuas","Chiricahuas","Different"
"H2","C2",0.980205279,2.542472307,1.666763003,113.4281855,0.982899033,"Huachuas","Chiricahuas","Different"
"H3","C2",1,2.461755878,1.644816339,113.2813398,1,"Huachuas","Chiricahuas","Different"
"H4","C2",1,0.768982613,2.100968953,553.5171934,1,"Hualapai","Chiricahuas","Different"
"H5","C2",1,0.366841845,2.162894526,553.951038,1,"Hualapai","Chiricahuas","Different"
"H6","C2",0.997264022,0.785104068,1.992724275,552.7538086,0.999369807,"Hualapai","Chiricahuas","Different"
"M1","C2",0.943420216,1.694013366,1.849587463,348.6087055,0.798631818,"MogollonRim","Chiricahuas","Different"
"M2","C2",0.964259121,1.698319717,1.841282928,347.9655508,0.98246853,"MogollonRim","Chiricahuas","Different"
"M3","C2",0.955465587,1.694413024,1.835380246,347.4732101,0.909300146,"MogollonRim","Chiricahuas","Different"
"M4","C2",0.961623616,0.727777632,0.873095771,344.9470551,0.960868427,"MogollonRim","Chiricahuas","Different"
"M5","C2",0.978640777,0.025646509,0.87450287,344.5657453,0.969624701,"MogollonRim","Chiricahuas","Different"
"M6","C2",1,0.019410251,0.945852842,345.1413109,1,"MogollonRim","Chiricahuas","Different"
"M7","C2",0.98060512,1.814640447,2.432216016,437.3759499,0.991507498,"MogollonRim","Chiricahuas","Different"
"M8","C2",0.988288288,1.894070253,2.510039908,437.8181155,0.98857109,"MogollonRim","Chiricahuas","Different"
"M9","C2",0.993236715,1.953452284,2.568325033,438.4847696,0.997670638,"MogollonRim","Chiricahuas","Different"
"N1","C2",0.884831461,1.575661206,1.661014308,407.3038473,0.688282682,"Mingus","Chiricahuas","Different"
"N2","C2",0.992417062,1.625992614,1.70552385,406.6517625,0.998662511,"Mingus","Chiricahuas","Different"
"N3","C2",0.949579832,1.600579352,1.678794343,407.4855151,0.926283635,"Mingus","Chiricahuas","Different"
"P1","C2",0.97662233,0.491680054,0.073930019,95.29847505,0.966310747,"Pinaleno","Chiricahuas","Different"
"P2","C2",0.989256198,0.485358991,0.024921782,94.48620648,0.99453984,"Pinaleno","Chiricahuas","Different"
"P3","C2",0.947238252,0.256641093,0.024075755,94.95503534,0.927176214,"Pinaleno","Chiricahuas","Different"
"Sunset Trail","C2",0.939810834,0.524896885,0.817541753,150.0917002,0.869399621,"MtLemmon","Chiricahuas","Different"
"Upper Solders Camp Rd.","C2",0.937238494,1.278126874,0.85334723,149.4539893,0.863987572,"MtLemmon","Chiricahuas","Different"
"A1","C3",0.995509942,3.672462293,3.394960572,439.183803,0.995962979,"Flagstaff","Chiricahuas","Different"
"A2","C3",0.978058146,3.616765127,3.395467604,438.1631681,0.987149294,"Flagstaff","Chiricahuas","Different"
"A3","C3",0.993133583,3.663729869,3.391241089,437.6944691,0.998395234,"Flagstaff","Chiricahuas","Different"
"B1","C3",0.985619469,0.859820805,1.246905225,405.3112247,0.984792725,"Bradshaw","Chiricahuas","Different"
"B2","C3",0.963131313,0.893153919,1.252247317,404.9761018,0.941059773,"Bradshaw","Chiricahuas","Different"
"B3","C3",0.988525531,0.846496073,1.252703045,405.2150148,0.987551912,"Bradshaw","Chiricahuas","Different"
"Butterfly trail","C3",0.917142857,0.739084222,0.852130077,149.6681361,0.899734265,"MtLemmon","Chiricahuas","Different"
"C1","C3",0.968004654,0.502760479,0.01328779,1.186240752,0.950716055,"Chiricahuas","Chiricahuas","Same"
"C2","C3",0.959509856,0.58075185,0.00619241,0.491400997,0.944202852,"Chiricahuas","Chiricahuas","Same"
"C3","C3",0,0,0,0,0,"Chiricahuas","Chiricahuas","Same"
"H1","C3",0.992109039,2.001133652,1.683526629,113.1411217,0.980469412,"Huachuas","Chiricahuas","Different"
"H2","C3",0.982508746,1.961720457,1.672955413,112.9776494,0.988638753,"Huachuas","Chiricahuas","Different"
"H3","C3",0.96919692,1.881004029,1.651008749,112.8304753,0.96342272,"Huachuas","Chiricahuas","Different"
"H4","C3",0.989952406,1.349734463,2.094776543,553.5200836,0.985388432,"Hualapai","Chiricahuas","Different"
"H5","C3",0.988286969,0.213910005,2.156702116,553.9538591,0.982014376,"Hualapai","Chiricahuas","Different"
"H6","C3",0.986764706,0.204352218,1.986531865,552.756865,0.954435674,"Hualapai","Chiricahuas","Different"
"M1","C3",0.969358608,2.274765215,1.843395053,348.7453985,0.95046668,"MogollonRim","Chiricahuas","Different"
"M2","C3",0.978424486,2.279071566,1.835090518,348.1020502,0.989665293,"MogollonRim","Chiricahuas","Different"
"M3","C3",0.964589235,2.275164874,1.829187836,347.6097803,0.954946056,"MogollonRim","Chiricahuas","Different"
"M4","C3",0.981132075,0.147025782,0.866903361,345.0616844,0.988089562,"MogollonRim","Chiricahuas","Different"
"M5","C3",0.991082045,0.555105341,0.86831046,344.680238,0.995578743,"MogollonRim","Chiricahuas","Different"
"M6","C3",0.990343995,0.561341599,0.939660432,345.2572098,0.971016842,"MogollonRim","Chiricahuas","Different"
"M7","C3",0.985499741,2.395392296,2.426023606,437.5009934,0.993447428,"MogollonRim","Chiricahuas","Different"
"M8","C3",0.98273878,2.474822103,2.503847498,437.9438512,0.974137764,"MogollonRim","Chiricahuas","Different"
"M9","C3",0.981280193,2.534204133,2.562132623,438.6110146,0.986323692,"MogollonRim","Chiricahuas","Different"
"N1","C3",0.989466292,2.156413056,1.654821898,407.3883097,0.976554033,"Mingus","Chiricahuas","Different"
"N2","C3",0.96107056,2.206744464,1.69933144,406.7357119,0.967171931,"Mingus","Chiricahuas","Different"
"N3","C3",0.950138504,2.181331202,1.672601933,407.5693063,0.94780313,"Mingus","Chiricahuas","Different"
"P1","C3",0.972240155,0.089071796,0.067737609,95.44180043,0.946505786,"Pinaleno","Chiricahuas","Different"
"P2","C3",0.962222222,0.095392859,0.031114192,94.62801401,0.967486088,"Pinaleno","Chiricahuas","Different"
"P3","C3",0.985216473,0.837392943,0.017883345,95.09357549,0.983951495,"Pinaleno","Chiricahuas","Different"
"Sunset Trail","C3",0.939582157,0.055854965,0.823734163,149.9451483,0.935883329,"MtLemmon","Chiricahuas","Different"
"Upper Solders Camp Rd.","C3",0.988378236,0.697375024,0.85953964,149.3081442,0.977500473,"MtLemmon","Chiricahuas","Different"
"A1","H1",1,5.673595944,5.078487201,445.2133056,1,"Flagstaff","Huachuas","Different"
"A2","H1",1,5.617898779,5.078994233,444.3676857,1,"Flagstaff","Huachuas","Different"
"A3","H1",1,5.66486352,5.074767718,444.1065884,1,"Flagstaff","Huachuas","Different"
"B1","H1",0.993720565,2.860954456,2.930431854,382.4106241,0.992545421,"Bradshaw","Huachuas","Different"
"B2","H1",1,2.89428757,2.935773946,381.9562136,1,"Bradshaw","Huachuas","Different"
"B3","H1",1,2.847629725,2.936229674,382.4340945,1,"Bradshaw","Huachuas","Different"
"Butterfly trail","H1",1,1.26204943,0.831396552,114.4673599,1,"MtLemmon","Huachuas","Different"
"C1","H1",1,2.50389413,1.670238839,114.2151545,1,"Chiricahuas","Huachuas","Different"
"C2","H1",1,2.581885501,1.677334219,113.5914507,1,"Chiricahuas","Huachuas","Different"
"C3","H1",0.992109039,2.001133652,1.683526629,113.1411217,0.980469412,"Chiricahuas","Huachuas","Different"
"H1","H1",0,0,0,0,0,"Huachuas","Huachuas","Same"
"H2","H1",1,0.039413195,0.010571216,0.202356889,1,"Huachuas","Huachuas","Same"
"H3","H1",0.97439759,0.120129623,0.03251788,0.438088151,0.963068905,"Huachuas","Huachuas","Same"
"H4","H1",1,3.350868115,3.778303172,519.2848966,1,"Hualapai","Huachuas","Different"
"H5","H1",1,2.215043656,3.840228745,519.6942636,1,"Hualapai","Huachuas","Different"
"H6","H1",1,1.796781434,3.670058494,518.5747176,1,"Hualapai","Huachuas","Different"
"M1","H1",1,4.275898867,3.526921682,352.3872797,1,"MogollonRim","Huachuas","Different"
"M2","H1",1,4.280205218,3.518617147,351.7320923,1,"MogollonRim","Huachuas","Different"
"M3","H1",0.990918264,4.276298525,3.512714465,351.2823508,0.994174475,"MogollonRim","Huachuas","Different"
"M4","H1",1,1.854107869,2.55042999,343.7249077,1,"MogollonRim","Huachuas","Different"
"M5","H1",1,2.556238992,2.551837089,343.3322053,1,"MogollonRim","Huachuas","Different"
"M6","H1",1,2.56247525,2.623187061,344.2068915,1,"MogollonRim","Huachuas","Different"
"M7","H1",1,4.396525948,4.109550235,434.6554294,1,"MogollonRim","Huachuas","Different"
"M8","H1",1,4.475955754,4.187374127,435.2472204,1,"MogollonRim","Huachuas","Different"
"M9","H1",1,4.535337785,4.245659252,436.0125155,1,"MogollonRim","Huachuas","Different"
"N1","H1",1,4.157546707,3.338348527,396.10643,1,"Mingus","Huachuas","Different"
"N2","H1",0.978174603,4.207878115,3.382858069,395.3598875,0.93743683,"Mingus","Huachuas","Different"
"N3","H1",0.984081042,4.182464853,3.356128562,396.1235682,0.960759832,"Mingus","Huachuas","Different"
"P1","H1",1,2.090205448,1.751264238,139.4569265,1,"Pinaleno","Huachuas","Different"
"P2","H1",0.99103139,2.096526511,1.652412437,138.7314322,0.963322983,"Pinaleno","Huachuas","Different"
"P3","H1",0.991701245,2.838526594,1.701409974,138.4703955,0.985967135,"Pinaleno","Huachuas","Different"
"Sunset Trail","H1",0.991163476,2.056988617,0.859792466,114.3073315,0.994598815,"MtLemmon","Huachuas","Different"
"Upper Solders Camp Rd.","H1",1,1.303758627,0.823986989,114.0552994,1,"MtLemmon","Huachuas","Different"
"A1","H2",1,5.634182749,5.067915985,445.3011808,1,"Flagstaff","Huachuas","Different"
"A2","H2",0.993812838,5.578485584,5.068423017,444.4552333,0.997625457,"Flagstaff","Huachuas","Different"
"A3","H2",1,5.625450326,5.064196502,444.1937864,1,"Flagstaff","Huachuas","Different"
"B1","H2",0.993670886,2.821541262,2.919860638,382.5395477,0.995944342,"Bradshaw","Huachuas","Different"
"B2","H2",0.96816609,2.854874376,2.92520273,382.0852854,0.956044935,"Bradshaw","Huachuas","Different"
"B3","H2",0.991603694,2.80821653,2.925658458,382.5628442,0.979404524,"Bradshaw","Huachuas","Different"
"Butterfly trail","H2",0.975,1.222636235,0.820825336,114.5634781,0.96287248,"MtLemmon","Huachuas","Different"
"C1","H2",0.982367758,2.464480936,1.659667623,114.052212,0.962238347,"Chiricahuas","Huachuas","Different"
"C2","H2",0.980205279,2.542472307,1.666763003,113.4281855,0.982899033,"Chiricahuas","Huachuas","Different"
"C3","H2",0.982508746,1.961720457,1.672955413,112.9776494,0.988638753,"Chiricahuas","Huachuas","Different"
"H1","H2",1,0.039413195,0.010571216,0.202356889,1,"Huachuas","Huachuas","Same"
"H2","H2",0,0,0,0,0,"Huachuas","Huachuas","Same"
"H3","H2",0.951239009,0.080716428,0.021946664,0.239996078,0.946457181,"Huachuas","Huachuas","Same"
"H4","H2",0.995529061,3.31145492,3.767731956,519.4349319,0.986402731,"Hualapai","Huachuas","Different"
"H5","H2",0.992628993,2.175630462,3.829657529,519.8443417,0.996875515,"Hualapai","Huachuas","Different"
"H6","H2",0.992592593,1.757368239,3.659487278,518.7246648,0.99682999,"Hualapai","Huachuas","Different"
"M1","H2",0.995873858,4.236485672,3.516350466,352.4728194,0.984113794,"MogollonRim","Huachuas","Different"
"M2","H2",0.983448276,4.240792023,3.508045931,351.8175955,0.991451243,"MogollonRim","Huachuas","Different"
"M3","H2",0.983167082,4.236885331,3.502143249,351.3677461,0.966786829,"MogollonRim","Huachuas","Different"
"M4","H2",0.987083617,1.814694675,2.539858774,343.8177887,0.985911995,"MogollonRim","Huachuas","Different"
"M5","H2",0.994685562,2.516825798,2.541265873,343.4250702,0.997336448,"MogollonRim","Huachuas","Different"
"M6","H2",1,2.523062056,2.612615845,344.2993519,1,"MogollonRim","Huachuas","Different"
"M7","H2",0.994964029,4.357112753,4.098979019,434.7568672,0.998129527,"MogollonRim","Huachuas","Different"
"M8","H2",0.996672213,4.43654256,4.176802911,435.3484561,0.999136826,"MogollonRim","Huachuas","Different"
"M9","H2",0.993738819,4.49592459,4.235088036,436.1136376,0.998307635,"MogollonRim","Huachuas","Different"
"N1","H2",0.993111366,4.118133513,3.327777311,396.2187596,0.985297434,"Mingus","Huachuas","Different"
"N2","H2",0.999126638,4.168464921,3.372286853,395.4723161,0.999916017,"Mingus","Huachuas","Different"
"N3","H2",0.979326187,4.143051659,3.345557346,396.2361496,0.982027338,"Mingus","Huachuas","Different"
"P1","H2",0.988816043,2.050792253,1.740693022,139.4181937,0.987234877,"Pinaleno","Huachuas","Different"
"P2","H2",0.993836672,2.057113316,1.641841221,138.6920174,0.993145265,"Pinaleno","Huachuas","Different"
"P3","H2",0.99408284,2.7991134,1.690838758,138.4320749,0.997363971,"Pinaleno","Huachuas","Different"
"Sunset Trail","H2",0.991570881,2.017575422,0.84922125,114.4042454,0.986261564,"MtLemmon","Huachuas","Different"
"Upper Solders Camp Rd.","H2",0.995545657,1.264345433,0.813415773,114.1512365,0.987605855,"MtLemmon","Huachuas","Different"
"A1","H3",1,5.553466321,5.045969321,445.4609736,1,"Flagstaff","Huachuas","Different"
"A2","H3",0.980304387,5.497769156,5.046476353,444.6147044,0.992127694,"Flagstaff","Huachuas","Different"
"A3","H3",0.992063492,5.544733897,5.042249838,444.3529138,0.998321059,"Flagstaff","Huachuas","Different"
"B1","H3",0.962616822,2.740824834,2.897913974,382.737529,0.953719051,"Bradshaw","Huachuas","Different"
"B2","H3",0.986270023,2.774157947,2.903256066,382.2833955,0.992721404,"Bradshaw","Huachuas","Different"
"B3","H3",0.983365949,2.727500102,2.903711794,382.7606743,0.976955531,"Bradshaw","Huachuas","Different"
"Butterfly trail","H3",0.959546926,1.141919807,0.798878672,114.7314836,0.897967911,"MtLemmon","Huachuas","Different"
"C1","H3",1,2.383764507,1.637720959,113.9058776,1,"Chiricahuas","Huachuas","Different"
"C2","H3",1,2.461755878,1.644816339,113.2813398,1,"Chiricahuas","Huachuas","Different"
"C3","H3",0.96919692,1.881004029,1.651008749,112.8304753,0.96342272,"Chiricahuas","Huachuas","Different"
"H1","H3",0.97439759,0.120129623,0.03251788,0.438088151,0.963068905,"Huachuas","Huachuas","Same"
"H2","H3",0.951239009,0.080716428,0.021946664,0.239996078,0.946457181,"Huachuas","Huachuas","Same"
"H3","H3",0,0,0,0,0,"Huachuas","Huachuas","Same"
"H4","H3",0.988917306,3.230738492,3.745785292,519.6503645,0.964704818,"Hualapai","Huachuas","Different"
"H5","H3",0.993883792,2.094914033,3.807710865,520.0598075,0.99736022,"Hualapai","Huachuas","Different"
"H6","H3",0.993846154,1.676651811,3.637540614,518.9400288,0.997317478,"Hualapai","Huachuas","Different"
"M1","H3",0.995977723,4.155769244,3.494403802,352.630332,0.998418844,"MogollonRim","Huachuas","Different"
"M2","H3",0.997708174,4.160075595,3.486099267,351.9750722,0.999794642,"MogollonRim","Huachuas","Different"
"M3","H3",0.9889883,4.156168902,3.480196585,351.5251164,0.98357279,"MogollonRim","Huachuas","Different"
"M4","H3",0.991647684,1.733978246,2.51791211,343.9824899,0.988939082,"MogollonRim","Huachuas","Different"
"M5","H3",1,2.436109369,2.519319209,343.5897559,1,"MogollonRim","Huachuas","Different"
"M6","H3",1,2.442345627,2.590669181,344.4636445,1,"MogollonRim","Huachuas","Different"
"M7","H3",0.994299674,4.276396325,4.077032355,434.9297699,0.997259574,"MogollonRim","Huachuas","Different"
"M8","H3",0.986407767,4.355826131,4.154856247,435.5211665,0.974002386,"MogollonRim","Huachuas","Different"
"M9","H3",0.983104541,4.415208162,4.213141372,436.2862398,0.977546391,"MogollonRim","Huachuas","Different"
"N1","H3",0.992957746,4.037417084,3.305830647,396.4018644,0.989647891,"Mingus","Huachuas","Different"
"N2","H3",0.967471144,4.087748492,3.350340189,395.6555121,0.958980397,"Mingus","Huachuas","Different"
"N3","H3",0.941229656,4.06233523,3.323610682,396.4194864,0.938421839,"Mingus","Huachuas","Different"
"P1","H3",0.991389914,1.970075825,1.718746358,139.4392709,0.986138532,"Pinaleno","Huachuas","Different"
"P2","H3",0.98401421,1.976396888,1.619894557,138.7122754,0.980646002,"Pinaleno","Huachuas","Different"
"P3","H3",0.976942784,2.718396971,1.668892094,138.4536508,0.98474042,"Pinaleno","Huachuas","Different"
"Sunset Trail","H3",0.989492119,1.936858994,0.827274586,114.5730154,0.984092405,"MtLemmon","Huachuas","Different"
"Upper Solders Camp Rd.","H3",0.993237532,1.183629004,0.791469109,114.3190688,0.99858458,"MtLemmon","Huachuas","Different"
"A1","H4",0.982618772,2.32272783,1.300184029,198.6404477,0.968582031,"Flagstaff","Hualapai","Different"
"A2","H4",1,2.267030664,1.300691061,199.5795486,1,"Flagstaff","Hualapai","Different"
"A3","H4",0.992374728,2.313995406,1.296464546,200.4632944,0.981077708,"Flagstaff","Hualapai","Different"
"B1","H4",0.948623853,0.489913658,0.847871318,151.2266336,0.903822223,"Bradshaw","Hualapai","Different"
"B2","H4",0.985130112,0.456580544,0.842529226,151.443539,0.980157604,"Bradshaw","Hualapai","Different"
"B3","H4",0.831521739,0.50323839,0.842073498,151.4173411,0.480074783,"Bradshaw","Hualapai","Different"
"Butterfly trail","H4",0.992824193,2.088818685,2.94690662,413.1770881,0.993458708,"MtLemmon","Hualapai","Different"
"C1","H4",1,0.846973984,2.108064333,553.4805836,1,"Chiricahuas","Hualapai","Different"
"C2","H4",1,0.768982613,2.100968953,553.5171934,1,"Chiricahuas","Hualapai","Different"
"C3","H4",0.989952406,1.349734463,2.094776543,553.5200836,0.985388432,"Chiricahuas","Hualapai","Different"
"H1","H4",1,3.350868115,3.778303172,519.2848966,1,"Huachuas","Hualapai","Different"
"H2","H4",0.995529061,3.31145492,3.767731956,519.4349319,0.986402731,"Huachuas","Hualapai","Different"
"H3","H4",0.988917306,3.230738492,3.745785292,519.6503645,0.964704818,"Huachuas","Hualapai","Different"
"H4","H4",0,0,0,0,0,"Hualapai","Hualapai","Same"
"H5","H4",0.93883792,1.135824458,0.061925573,0.440732455,0.783078371,"Hualapai","Hualapai","Same"
"H6","H4",0.874388254,1.554086681,0.108244678,0.785849044,0.67544682,"Hualapai","Hualapai","Same"
"M1","H4",0.978199938,0.925030752,0.25138149,237.7959744,0.978005227,"MogollonRim","Hualapai","Different"
"M2","H4",0.997769517,0.929337103,0.259686025,238.2037239,0.994489217,"MogollonRim","Hualapai","Different"
"M3","H4",0.944600281,0.925430411,0.265588707,238.6184559,0.861974631,"MogollonRim","Hualapai","Different"
"M4","H4",0.892857143,1.496760245,1.227873182,231.2615925,0.752401537,"MogollonRim","Hualapai","Different"
"M5","H4",0.9960199,0.794629122,1.226466083,231.5281921,0.997133117,"MogollonRim","Hualapai","Different"
"M6","H4",0.869115959,0.788392864,1.155116111,231.5996353,0.688634165,"MogollonRim","Hualapai","Different"
"M7","H4",1,1.045657833,0.331247063,169.3187337,1,"MogollonRim","Hualapai","Different"
"M8","H4",0.988764045,1.12508764,0.409070955,169.5803518,0.970955225,"MogollonRim","Hualapai","Different"
"M9","H4",0.939490446,1.18446967,0.46735608,169.5799185,0.790942043,"MogollonRim","Hualapai","Different"
"N1","H4",0.995989305,0.806678593,0.439954645,166.18614,0.995314885,"Mingus","Hualapai","Different"
"N2","H4",0.999018646,0.857010001,0.395445103,166.4936687,0.998083591,"Mingus","Hualapai","Different"
"N3","H4",0.987416107,0.831596739,0.42217461,165.7237497,0.972404522,"Mingus","Hualapai","Different"
"P1","H4",0.944162437,1.260662667,2.027038934,462.9358324,0.884379474,"Pinaleno","Hualapai","Different"
"P2","H4",1,1.254341604,2.125890735,463.5963451,1,"Pinaleno","Hualapai","Different"
"P3","H4",0.961279461,0.51234152,2.076893198,462.9363726,0.904759455,"Pinaleno","Hualapai","Different"
"Sunset Trail","H4",1,1.293879498,2.918510706,413.1088747,1,"MtLemmon","Hualapai","Different"
"Upper Solders Camp Rd.","H4",0.993437244,2.047109487,2.954316183,413.5999558,0.984126868,"MtLemmon","Hualapai","Different"
"A1","H5",1,3.458552288,1.238258456,198.9983129,1,"Flagstaff","Hualapai","Different"
"A2","H5",1,3.402855123,1.238765488,199.9382968,1,"Flagstaff","Hualapai","Different"
"A3","H5",1,3.449819864,1.234538973,200.8221722,1,"Flagstaff","Hualapai","Different"
"B1","H5",1,0.6459108,0.909796891,151.667355,1,"Bradshaw","Hualapai","Different"
"B2","H5",1,0.679243914,0.904454799,151.8842466,1,"Bradshaw","Hualapai","Different"
"B3","H5",0.985157699,0.632586068,0.903999071,151.8580689,0.888750036,"Bradshaw","Hualapai","Different"
"Butterfly trail","H5",1,0.952994227,3.008832193,413.5998269,1,"MtLemmon","Hualapai","Different"
"C1","H5",1,0.288850474,2.169989906,553.9145254,1,"Chiricahuas","Hualapai","Different"
"C2","H5",1,0.366841845,2.162894526,553.951038,1,"Chiricahuas","Hualapai","Different"
"C3","H5",0.988286969,0.213910005,2.156702116,553.9538591,0.982014376,"Chiricahuas","Hualapai","Different"
"H1","H5",1,2.215043656,3.840228745,519.6942636,1,"Huachuas","Hualapai","Different"
"H2","H5",0.992628993,2.175630462,3.829657529,519.8443417,0.996875515,"Huachuas","Hualapai","Different"
"H3","H5",0.993883792,2.094914033,3.807710865,520.0598075,0.99736022,"Huachuas","Hualapai","Different"
"H4","H5",0.93883792,1.135824458,0.061925573,0.440732455,0.783078371,"Hualapai","Hualapai","Same"
"H5","H5",0,0,0,0,0,"Hualapai","Hualapai","Same"
"H6","H5",0.672131148,0.418262223,0.170170251,1.226031531,0.450584675,"Hualapai","Hualapai","Same"
"M1","H5",1,2.060855211,0.313307063,238.2247776,1,"MogollonRim","Hualapai","Different"
"M2","H5",0.996328029,2.065161562,0.321611598,238.6327473,0.998587197,"MogollonRim","Hualapai","Different"
"M3","H5",0.995889003,2.061254869,0.32751428,239.0475934,0.996227499,"MogollonRim","Hualapai","Different"
"M4","H5",0.990338164,0.360935787,1.289798755,231.6960794,0.941735304,"MogollonRim","Hualapai","Different"
"M5","H5",1,0.341195336,1.288391656,231.9627712,1,"MogollonRim","Hualapai","Different"
"M6","H5",0.934731935,0.347431594,1.217041684,232.0338401,0.657002574,"MogollonRim","Hualapai","Different"
"M7","H5",1,2.181482292,0.26932149,169.7013678,1,"MogollonRim","Hualapai","Different"
"M8","H5",1,2.260912098,0.347145382,169.9620405,1,"MogollonRim","Hualapai","Different"
"M9","H5",0.989270386,2.320294129,0.405430507,169.960544,0.983175604,"MogollonRim","Hualapai","Different"
"N1","H5",1,1.942503051,0.501880218,166.6141182,1,"Mingus","Hualapai","Different"
"N2","H5",0.99796334,1.992834459,0.457370676,166.9220971,0.999379328,"Mingus","Hualapai","Different"
"N3","H5",1,1.967421197,0.484100183,166.151962,1,"Mingus","Hualapai","Different"
"P1","H5",1,0.124838209,2.088964507,463.3734755,1,"Pinaleno","Hualapai","Different"
"P2","H5",1,0.118517146,2.187816308,464.0339243,1,"Pinaleno","Hualapai","Different"
"P3","H5",1,0.623482938,2.138818771,463.3738989,1,"Pinaleno","Hualapai","Different"
"Sunset Trail","H5",1,0.15805504,2.980436279,413.5314526,1,"MtLemmon","Hualapai","Different"
"Upper Solders Camp Rd.","H5",1,0.911285029,3.016241756,414.0226742,1,"MtLemmon","Hualapai","Different"
"A1","H6",1,3.87681451,1.408428707,197.9756994,1,"Flagstaff","Hualapai","Different"
"A2","H6",1,3.821117345,1.408935739,198.9133551,1,"Flagstaff","Hualapai","Different"
"A3","H6",1,3.868082087,1.404709224,199.7968865,1,"Flagstaff","Hualapai","Different"
"B1","H6",1,1.064173023,0.73962664,150.4426917,1,"Bradshaw","Hualapai","Different"
"B2","H6",1,1.097506136,0.734284548,150.6597978,1,"Bradshaw","Hualapai","Different"
"B3","H6",0.983146067,1.050848291,0.73382882,150.6332633,0.885959571,"Bradshaw","Hualapai","Different"
"Butterfly trail","H6",1,0.534732004,2.838661942,412.4387818,1,"MtLemmon","Hualapai","Different"
"C1","H6",1,0.707112697,1.999819655,552.716965,1,"Chiricahuas","Hualapai","Different"
"C2","H6",0.997264022,0.785104068,1.992724275,552.7538086,0.999369807,"Chiricahuas","Hualapai","Different"
"C3","H6",0.986764706,0.204352218,1.986531865,552.756865,0.954435674,"Chiricahuas","Hualapai","Different"
"H1","H6",1,1.796781434,3.670058494,518.5747176,1,"Huachuas","Hualapai","Different"
"H2","H6",0.992592593,1.757368239,3.659487278,518.7246648,0.99682999,"Huachuas","Hualapai","Different"
"H3","H6",0.993846154,1.676651811,3.637540614,518.9400288,0.997317478,"Huachuas","Hualapai","Different"
"H4","H6",0.874388254,1.554086681,0.108244678,0.785849044,0.67544682,"Hualapai","Hualapai","Same"
"H5","H6",0.672131148,0.418262223,0.170170251,1.226031531,0.450584675,"Hualapai","Hualapai","Same"
"H6","H6",0,0,0,0,0,"Hualapai","Hualapai","Same"
"M1","H6",1,2.479117433,0.143136812,237.0216237,1,"MogollonRim","Hualapai","Different"
"M2","H6",0.996309963,2.483423784,0.151441347,237.4290831,0.998546927,"MogollonRim","Hualapai","Different"
"M3","H6",0.983281087,2.479517092,0.157344029,237.8436654,0.985739513,"MogollonRim","Hualapai","Different"
"M4","H6",0.989064399,0.057326436,1.119628504,230.4801936,0.940354304,"MogollonRim","Hualapai","Different"
"M5","H6",1,0.759457558,1.118221405,230.746689,1,"MogollonRim","Hualapai","Different"
