"site1","site2","jaccard.dissimilarity","spatial.site","range.1","range.2","horn.dissimilarity","range.comp"
"B1","B1",0,0,"Bradshaw","Bradshaw",0,"Same"
"B2","B1",0.806451612903226,0.581622135,"Bradshaw","Bradshaw",0.712047191758059,"Same"
"B3","B1",0.835526315789474,0.426504336,"Bradshaw","Bradshaw",0.696231521913826,"Same"
"C1","B1",0.777777777777778,405.1969864,"Chiricahua","Bradshaw",0.0382913321143704,"Different"
"C2","B1",0.806451612903226,405.2772202,"Chiricahua","Bradshaw",0.503582802547771,"Different"
"C3","B1",0.8125,405.3112247,"Chiricahua","Bradshaw",0.707279005714827,"Different"
"H1","B1",0.868852459016394,382.4106241,"Huachuca","Bradshaw",0.6304289631228,"Different"
"H2","B1",0.761194029850746,382.5395477,"Huachuca","Bradshaw",0.526123962370894,"Different"
"H3","B1",0.891891891891892,382.737529,"Huachuca","Bradshaw",0.891760214285086,"Different"
"M1","B1",0.989583333333333,97.79341774,"MogollonRim","Bradshaw",0.96827727393762,"Different"
"M2","B1",0.937984496124031,97.9832143,"MogollonRim","Bradshaw",0.924791201290745,"Different"
"M3","B1",0.951048951048951,98.27154759,"MogollonRim","Bradshaw",0.903334123105924,"Different"
"N1","B1",0.751824817518248,42.05045688,"Mingus","Bradshaw",0.501811695837177,"Different"
"N2","B1",0.710526315789474,41.56103653,"Mingus","Bradshaw",0.281484322339214,"Different"
"N3","B1",0.911764705882353,41.50746022,"Mingus","Bradshaw",0.843094322520715,"Different"
"P1","B1",0.948275862068966,313.0985586,"Pinaleno","Bradshaw",0.948841052141387,"Different"
"P2","B1",0.869565217391304,313.7885735,"Pinaleno","Bradshaw",0.648271349111135,"Different"
"P3","B1",0.960629921259842,313.1548556,"Pinaleno","Bradshaw",0.960546080419624,"Different"
"Sunset.Trail","B1",0.833333333333333,271.078156,"SantaCatalina","Bradshaw",0.635912788412108,"Different"
"Upper.Solders.Camp.Rd.","B1",0.923076923076923,271.491624,"SantaCatalina","Bradshaw",0.932463452941887,"Different"
"B1","B2",0.806451612903226,0.581622135,"Bradshaw","Bradshaw",0.712047191758059,"Same"
"B2","B2",0,0,"Bradshaw","Bradshaw",0,"Same"
"B3","B2",0.854166666666667,0.922140499,"Bradshaw","Bradshaw",0.592837469022302,"Same"
"C1","B2",0.837837837837838,404.8632515,"Chiricahua","Bradshaw",0.70438484461473,"Different"
"C2","B2",0.73469387755102,404.9426732,"Chiricahua","Bradshaw",0.421965317919075,"Different"
"C3","B2",0.761194029850746,404.9761018,"Chiricahua","Bradshaw",0.480420817686681,"Different"
"H1","B2",0.787234042553192,381.9562136,"Huachuca","Bradshaw",0.656474276129458,"Different"
"H2","B2",0.854838709677419,382.0852854,"Huachuca","Bradshaw",0.732728667867951,"Different"
"H3","B2",0.727272727272727,382.2833955,"Huachuca","Bradshaw",0.584338758612868,"Different"
"M1","B2",0.9375,97.93171431,"MogollonRim","Bradshaw",0.711620783377874,"Different"
"M2","B2",0.883928571428571,98.11786558,"MogollonRim","Bradshaw",0.648567038258877,"Different"
"M3","B2",0.896,98.40387396,"MogollonRim","Bradshaw",0.570532182973491,"Different"
"N1","B2",0.910958904109589,42.52619521,"Mingus","Bradshaw",0.750772338343496,"Different"
"N2","B2",0.902439024390244,42.03188836,"Mingus","Bradshaw",0.692731882901573,"Different"
"N3","B2",0.91875,41.98510455,"Mingus","Bradshaw",0.708826731771849,"Different"
"P1","B2",0.86046511627907,312.7971865,"Pinaleno","Bradshaw",0.813815366905515,"Different"
"P2","B2",0.823529411764706,313.4863621,"Pinaleno","Bradshaw",0.526346718903036,"Different"
"P3","B2",0.947368421052632,312.8518536,"Pinaleno","Bradshaw",0.848434407102625,"Different"
"Sunset.Trail","B2",0.657894736842105,270.6545237,"SantaCatalina","Bradshaw",0.431097764431098,"Different"
"Upper.Solders.Camp.Rd.","B2",0.705882352941176,271.0687787,"SantaCatalina","Bradshaw",0.504350767149402,"Different"
"B1","B3",0.835526315789474,0.426504336,"Bradshaw","Bradshaw",0.696231521913826,"Same"
"B2","B3",0.854166666666667,0.922140499,"Bradshaw","Bradshaw",0.592837469022302,"Same"
"B3","B3",0,0,"Bradshaw","Bradshaw",0,"Same"
"C1","B3",0.926470588235294,405.0995654,"Chiricahua","Bradshaw",0.673532668881506,"Different"
"C2","B3",0.846153846153846,405.1805074,"Chiricahua","Bradshaw",0.576206785427893,"Different"
"C3","B3",0.858895705521472,405.2150148,"Chiricahua","Bradshaw",0.723940197822138,"Different"
"H1","B3",0.832116788321168,382.4340945,"Huachuca","Bradshaw",0.117510431105901,"Different"
"H2","B3",0.89171974522293,382.5628442,"Huachuca","Bradshaw",0.826333740212097,"Different"
"H3","B3",0.764285714285714,382.7606743,"Huachuca","Bradshaw",0.303390911273447,"Different"
"M1","B3",0.961325966850829,97.41749076,"MogollonRim","Bradshaw",0.915759902939358,"Different"
"M2","B3",0.929577464788732,97.60859591,"MogollonRim","Bradshaw",0.882420328196221,"Different"
"M3","B3",0.863207547169811,97.8977695,"MogollonRim","Bradshaw",0.789521476239484,"Different"
"N1","B3",0.792626728110599,41.63488539,"Mingus","Bradshaw",0.652468029075012,"Different"
"N2","B3",0.844660194174757,41.14410449,"Mingus","Bradshaw",0.701679046242979,"Different"
"N3","B3",0.751131221719457,41.09244676,"Mingus","Bradshaw",0.572314863136858,"Different"
"P1","B3",0.865671641791045,312.9739251,"Pinaleno","Bradshaw",0.206632921255898,"Different"
"P2","B3",0.971223021582734,313.6646271,"Pinaleno","Bradshaw",0.809225819424894,"Different"
"P3","B3",0.656626506024096,313.03156,"Pinaleno","Bradshaw",0.286753020548451,"Different"
"Sunset.Trail","B3",0.875912408759124,271.0673931,"SantaCatalina","Bradshaw",0.681004215067739,"Different"
"Upper.Solders.Camp.Rd.","B3",0.919117647058824,271.4800196,"SantaCatalina","Bradshaw",0.814498309506695,"Different"
"B1","C1",0.777777777777778,405.1969864,"Bradshaw","Chiricahua",0.0382913321143704,"Different"
"B2","C1",0.837837837837838,404.8632515,"Bradshaw","Chiricahua",0.70438484461473,"Different"
"B3","C1",0.926470588235294,405.0995654,"Bradshaw","Chiricahua",0.673532668881506,"Different"
"C1","C1",0,0,"Chiricahua","Chiricahua",0,"Same"
"C2","C1",0.696969696969697,0.695169655,"Chiricahua","Chiricahua",0.480984340044743,"Same"
"C3","C1",0.814814814814815,1.186240752,"Chiricahua","Chiricahua",0.719222462203024,"Same"
"H1","C1",0.8125,114.2151545,"Huachuca","Chiricahua",0.655567490153956,"Different"
"H2","C1",0.761904761904762,114.052212,"Huachuca","Chiricahua",0.447004608294931,"Different"
"H3","C1",0.891304347826087,113.9058776,"Huachuca","Chiricahua",0.809099252655041,"Different"
"M1","C1",1,348.384662,"MogollonRim","Chiricahua",1,"Different"
"M2","C1",0.95049504950495,347.7417795,"MogollonRim","Chiricahua",0.95645971133715,"Different"
"M3","C1",0.946902654867257,347.2493415,"MogollonRim","Chiricahua",0.919030309582044,"Different"
"N1","C1",0.931297709923664,407.152692,"Mingus","Chiricahua",0.471594259878121,"Different"
"N2","C1",0.91588785046729,406.5013279,"Mingus","Chiricahua",0.247798742138365,"Different"
"N3","C1",0.937931034482759,407.3353006,"Mingus","Chiricahua",0.778607621993386,"Different"
"P1","C1",0.928571428571429,95.06799861,"Pinaleno","Chiricahua",0.963358778625954,"Different"
"P2","C1",0.833333333333333,94.25788566,"Pinaleno","Chiricahua",0.64963503649635,"Different"
"P3","C1",0.97979797979798,94.73126448,"Pinaleno","Chiricahua",0.994223311210995,"Different"
"Sunset.Trail","C1",0.769230769230769,150.269586,"SantaCatalina","Chiricahua",0.661246612466125,"Different"
"Upper.Solders.Camp.Rd.","C1",0.80952380952381,149.6308747,"SantaCatalina","Chiricahua",0.920030757401,"Different"
"B1","C2",0.806451612903226,405.2772202,"Bradshaw","Chiricahua",0.503582802547771,"Different"
"B2","C2",0.73469387755102,404.9426732,"Bradshaw","Chiricahua",0.421965317919075,"Different"
"B3","C2",0.846153846153846,405.1805074,"Bradshaw","Chiricahua",0.576206785427893,"Different"
"C1","C2",0.696969696969697,0.695169655,"Chiricahua","Chiricahua",0.480984340044743,"Same"
"C2","C2",0,0,"Chiricahua","Chiricahua",0,"Same"
"C3","C2",0.433962264150943,0.491400997,"Chiricahua","Chiricahua",0.0828842470939295,"Same"
"H1","C2",0.733333333333333,113.5914507,"Huachuca","Chiricahua",0.613588110403397,"Different"
"H2","C2",0.775862068965517,113.4281855,"Huachuca","Chiricahua",0.64732417469756,"Different"
"H3","C2",0.727272727272727,113.2813398,"Huachuca","Chiricahua",0.397335701598579,"Different"
"M1","C2",0.851351351351351,348.6087055,"MogollonRim","Chiricahua",0.414408214132922,"Different"
"M2","C2",0.820754716981132,347.9655508,"MogollonRim","Chiricahua",0.3159155272822,"Different"
"M3","C2",0.810344827586207,347.4732101,"MogollonRim","Chiricahua",0.216526239254095,"Different"
"N1","C2",0.872340425531915,407.3038473,"Mingus","Chiricahua",0.587610279695182,"Different"
"N2","C2",0.805309734513274,406.6517625,"Mingus","Chiricahua",0.461396259243149,"Different"
"N3","C2",0.831081081081081,407.4855151,"Mingus","Chiricahua",0.513646580327518,"Different"
"P1","C2",0.911111111111111,95.29847505,"Pinaleno","Chiricahua",0.916801479084816,"Different"
"P2","C2",0.857142857142857,94.48620648,"Pinaleno","Chiricahua",0.67487684729064,"Different"
"P3","C2",0.947368421052632,94.95503534,"Pinaleno","Chiricahua",0.983271504179651,"Different"
"Sunset.Trail","C2",0.583333333333333,150.0917002,"SantaCatalina","Chiricahua",0.141274238227147,"Different"
"Upper.Solders.Camp.Rd.","C2",0.742857142857143,149.4539893,"SantaCatalina","Chiricahua",0.243599689681924,"Different"
"B1","C3",0.8125,405.3112247,"Bradshaw","Chiricahua",0.707279005714827,"Different"
"B2","C3",0.761194029850746,404.9761018,"Bradshaw","Chiricahua",0.480420817686681,"Different"
"B3","C3",0.858895705521472,405.2150148,"Bradshaw","Chiricahua",0.723940197822138,"Different"
"C1","C3",0.814814814814815,1.186240752,"Chiricahua","Chiricahua",0.719222462203024,"Same"
"C2","C3",0.433962264150943,0.491400997,"Chiricahua","Chiricahua",0.0828842470939295,"Same"
"C3","C3",0,0,"Chiricahua","Chiricahua",0,"Same"
"H1","C3",0.8,113.1411217,"Huachuca","Chiricahua",0.684460260972716,"Different"
