site1,site2,jaccard.dissimilarity,env,clim,spatial.site,range.1,range.2,comp.range
C1,Sunset Trail,0.983112497,0.710184551,0.810446373,150.269586,Chiricahua,Santa.Catalina,Different
C2,Sunset Trail,0.925960637,0.760875858,0.817541753,150.0917002,Chiricahua,Santa.Catalina,Different
C3,Sunset Trail,0.902054602,0.06484345,0.823734163,149.9451483,Chiricahua,Santa.Catalina,Different
H1,Sunset Trail,0.941829592,2.135726728,0.859792466,114.3073315,Huachuca,Santa.Catalina,Different
H2,Sunset Trail,0.929425488,2.105748033,0.84922125,114.4042454,Huachuca,Santa.Catalina,Different
H3,Sunset Trail,0.942026266,2.044124623,0.827274586,114.5730154,Huachuca,Santa.Catalina,Different
M1,Sunset Trail,0.809866393,2.975575382,2.667129216,238.4096591,MogollonRim,Santa.Catalina,Different
M2,Sunset Trail,0.883638211,2.972085669,2.658824681,237.7568718,MogollonRim,Santa.Catalina,Different
M3,Sunset Trail,0.967664671,2.966919242,2.652921999,237.3136037,MogollonRim,Santa.Catalina,Different
N1,Sunset Trail,0.933177933,2.792092277,2.478556061,282.4430145,Mingus,Santa.Catalina,Different
N2,Sunset Trail,0.9734572,2.852754647,2.523065603,281.705421,Mingus,Santa.Catalina,Different
N3,Sunset Trail,0.56545961,2.818306745,2.496336096,282.4817937,Mingus,Santa.Catalina,Different
P1,Sunset Trail,0.901146698,0.186781125,0.891471772,89.24482333,Pinaleno,Santa.Catalina,Different
P2,Sunset Trail,0.947878229,0.131685566,0.792619971,89.22017322,Pinaleno,Santa.Catalina,Different
Sunset Trail,Sunset Trail,0,0,0,0,Santa.Catalina,Santa.Catalina,Same
Upper Solders Camp Rd.,Sunset Trail,0.95940757,0.823574078,0.035805477,0.676066064,Santa.Catalina,Santa.Catalina,Same
B1,Upper Solders Camp Rd.,0.965733866,2.224452489,2.106444865,271.491624,Bradshaw,Santa.Catalina,Different
B2,Upper Solders Camp Rd.,0.972303207,2.249268489,2.111786957,271.0687787,Bradshaw,Santa.Catalina,Different
B3,Upper Solders Camp Rd.,0.961188599,2.219157669,2.112242685,271.4800196,Bradshaw,Santa.Catalina,Different
C1,Upper Solders Camp Rd.,0.892564802,1.53375863,0.84625185,149.6308747,Chiricahua,Santa.Catalina,Different
C2,Upper Solders Camp Rd.,0.90170432,1.584449937,0.85334723,149.4539893,Chiricahua,Santa.Catalina,Different
C3,Upper Solders Camp Rd.,0.958118557,0.888417529,0.85953964,149.3081442,Chiricahua,Santa.Catalina,Different
H1,Upper Solders Camp Rd.,0.980246914,1.31215265,0.823986989,114.0552994,Huachuca,Santa.Catalina,Different
H2,Upper Solders Camp Rd.,0.954403063,1.282173955,0.813415773,114.1512365,Huachuca,Santa.Catalina,Different
H3,Upper Solders Camp Rd.,0.983231084,1.220550545,0.791469109,114.3190688,Huachuca,Santa.Catalina,Different
M1,Upper Solders Camp Rd.,0.936814958,3.79914946,2.702934693,238.6053987,MogollonRim,Santa.Catalina,Different
M2,Upper Solders Camp Rd.,0.917963225,3.795659747,2.694630158,237.9523699,MogollonRim,Santa.Catalina,Different
M3,Upper Solders Camp Rd.,0.992373689,3.790493321,2.688727476,237.5085028,MogollonRim,Santa.Catalina,Different
N1,Upper Solders Camp Rd.,0.97829233,3.615666356,2.514361538,282.7740105,Mingus,Santa.Catalina,Different
N2,Upper Solders Camp Rd.,0.985005767,3.676328726,2.55887108,282.0369602,Mingus,Santa.Catalina,Different
N3,Upper Solders Camp Rd.,0.985433358,3.641880823,2.532141573,282.8140233,Mingus,Santa.Catalina,Different
P1,Upper Solders Camp Rd.,0.947158524,1.010355203,0.927277249,88.60063525,Pinaleno,Santa.Catalina,Different
P2,Upper Solders Camp Rd.,0.921122995,0.955259645,0.828425448,88.57401183,Pinaleno,Santa.Catalina,Different
Sunset Trail,Upper Solders Camp Rd.,0.95940757,0.823574078,0.035805477,0.676066064,Santa.Catalina,Santa.Catalina,Same
Upper Solders Camp Rd.,Upper Solders Camp Rd.,0,0,0,0,Santa.Catalina,Santa.Catalina,Same
